M_Shannon_radius_CN6,A_Shannon_radius_CN6,M_Atomic_electron_scattering_factor_at_0.5,"M_Atomic_environment_number_Villars,_Daams","M_Atomic_number_start_counting_left_top,_left-right_sequence",M_Atomic_weight,M_Boiling_temperature,M_Charge_nuclear_effective_Clementi,M_Compression_modulus,M_Conductivity_thermal,M_Density,M_Distance_from_core_electron_Schubert,M_Distance_from_valence_electron_Schubert,M_Electrochemical_weight_equivalent,M_Electronegativity_Alfred-Rochow,M_Electronegativity_Martynov&Batsanov,M_Electronegativity_Pauling,M_Electronegativity_absolute,M_Energy_cohesive_Brewer,M_Energy_of_ionization_first,M_Energy_of_ionization_second,M_Energy_of_ionization_third,M_Enthalpy_of_atomization,M_Enthalpy_of_melting,M_Enthalpy_of_vaporization,M_Entropy_of_solid,M_Group_number,M_Magnetic_frequency_of_nuclei,M_Magnetic_resonance,M_Mass_attenuation_coefficient_CrKα,M_Mass_attenuation_coefficient_FeKα,M_Mass_attenuation_coefficient_for_CuKα,M_Mass_attenuation_coefficient_for_MoKα,M_Melting_temperature,M_Mendeleev_H_d-t_start_left,M_Mendeleev_H_d-t_start_right,M_Mendeleev_H_t-d_start_left,M_Mendeleev_H_t-d_start_right,M_Mendeleev_Pettifor,M_Mendeleev_Pettifor_regular,M_Mendeleev_chemists_sequence,M_Mendeleev_d-t_start_left,M_Mendeleev_d-t_start_right,M_Mendeleev_t-d_start_left,M_Mendeleev_t-d_start_right,M_Molar_heat_capacity,M_Moment_nuclear_magnetic,M_Nuclear_charge_effective_Slater,M_Oxidation_state_first,"M_Periodic_number_start_counting_bottom_right,_right-left_sequence","M_Periodic_number_start_counting_left_bottom,_left-right_sequence","M_Periodic_number_start_counting_top_right,_right-left_sequence",M_Quantum_number,M_Radii_covalent,M_Radii_metal_Waber,M_Radii_pseudo-potential_Zunger,M_Spectral_lines_n_o,M_Spin_nuclei,M_Thermal_neutron_capture_cross_section,M_Valence_electron_number,"M_Volume_of_atom_Villars,_Daams",A_Atomic_electron_scattering_factor_at_0.5,"A_Atomic_environment_number_Villars,_Daams","A_Atomic_number_start_counting_left_top,_left-right_sequence",A_Atomic_weight,A_Boiling_temperature,A_Charge_nuclear_effective_Clementi,A_Compression_modulus,A_Conductivity_thermal,A_Density,A_Distance_from_core_electron_Schubert,A_Distance_from_valence_electron_Schubert,A_Electrochemical_weight_equivalent,A_Electronegativity_Alfred-Rochow,A_Electronegativity_Martynov&Batsanov,A_Electronegativity_Pauling,A_Electronegativity_absolute,A_Energy_cohesive_Brewer,A_Energy_of_ionization_first,A_Energy_of_ionization_second,A_Energy_of_ionization_third,A_Enthalpy_of_atomization,A_Enthalpy_of_melting,A_Enthalpy_of_vaporization,A_Entropy_of_solid,A_Group_number,A_Magnetic_frequency_of_nuclei,A_Magnetic_resonance,A_Mass_attenuation_coefficient_CrKα,A_Mass_attenuation_coefficient_FeKα,A_Mass_attenuation_coefficient_for_CuKα,A_Mass_attenuation_coefficient_for_MoKα,A_Melting_temperature,A_Mendeleev_H_d-t_start_left,A_Mendeleev_H_d-t_start_right,A_Mendeleev_H_t-d_start_left,A_Mendeleev_H_t-d_start_right,A_Mendeleev_Pettifor,A_Mendeleev_Pettifor_regular,A_Mendeleev_chemists_sequence,A_Mendeleev_d-t_start_left,A_Mendeleev_d-t_start_right,A_Mendeleev_t-d_start_left,A_Mendeleev_t-d_start_right,A_Molar_heat_capacity,A_Moment_nuclear_magnetic,A_Nuclear_charge_effective_Slater,A_Oxidation_state_first,"A_Periodic_number_start_counting_bottom_right,_right-left_sequence","A_Periodic_number_start_counting_left_bottom,_left-right_sequence","A_Periodic_number_start_counting_top_right,_right-left_sequence",A_Quantum_number,A_Radii_covalent,A_Radii_metal_Waber,A_Radii_pseudo-potential_Zunger,A_Spectral_lines_n_o,A_Spin_nuclei,A_Thermal_neutron_capture_cross_section,A_Valence_electron_number,"A_Volume_of_atom_Villars,_Daams",d(M-M),Average bond length (Å),Polyhedral volume (Å^3),Distortion index (bond length),Quadratic elongation,Bond angle variance (deg.^2),Effective coordination number,a,b,c,alpha,beta,gamma,space_group_number,cell_volume,Z,cell_volume/Z
0.535,1.173333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.313333333,14,13.66666667,28.379,1222.333333,2.76,0.06,96.23333333,751.6666667,1.463333333,4.086666667,0.294066667,0.93,0.833333333,0.866666667,2.616666667,1.163333333,452.6,4466.666667,6879,112.6,2.57,96.26666667,52.37686667,1,16.06566667,6.839766667,278.6533333,177.75,95.572,10.60666667,375.6666667,4.666666667,101.6666667,2.333333333,99.33333333,10.66666667,10.66666667,6.666666667,4.666666667,100.6666667,3.333333333,99.33333333,27.97666667,1.346,1.9,1,90.33333333,76.66666667,27.33333333,3.333333333,1.763333333,2.104666667,2.996666667,67.66666667,1.5,1.415,1,5.768666667,5.64177,1.8448,8.3713,0,1,0,6,7.978666,7.978666,7.978666,90,90,90,225,507.9147856,4,126.9786964
0.62,1.173333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,0.313333333,14,13.66666667,28.379,1222.333333,2.76,0.06,96.23333333,751.6666667,1.463333333,4.086666667,0.294066667,0.93,0.833333333,0.866666667,2.616666667,1.163333333,452.6,4466.666667,6879,112.6,2.57,96.26666667,52.37686667,1,16.06566667,6.839766667,278.6533333,177.75,95.572,10.60666667,375.6666667,4.666666667,101.6666667,2.333333333,99.33333333,10.66666667,10.66666667,6.666666667,4.666666667,100.6666667,3.333333333,99.33333333,27.97666667,1.346,1.9,1,90.33333333,76.66666667,27.33333333,3.333333333,1.763333333,2.104666667,2.996666667,67.66666667,1.5,1.415,1,5.768666667,5.73352,1.9338,9.6423,0,1,0,6,8.10842,8.10842,8.10842,90,90,90,225,533.100032,4,133.275008
0.8,1.173333333,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,0.313333333,14,13.66666667,28.379,1222.333333,2.76,0.06,96.23333333,751.6666667,1.463333333,4.086666667,0.294066667,0.93,0.833333333,0.866666667,2.616666667,1.163333333,452.6,4466.666667,6879,112.6,2.57,96.26666667,52.37686667,1,16.06566667,6.839766667,278.6533333,177.75,95.572,10.60666667,375.6666667,4.666666667,101.6666667,2.333333333,99.33333333,10.66666667,10.66666667,6.666666667,4.666666667,100.6666667,3.333333333,99.33333333,27.97666667,1.346,1.9,1,90.33333333,76.66666667,27.33333333,3.333333333,1.763333333,2.104666667,2.996666667,67.66666667,1.5,1.415,1,5.768666667,5.9379,2.1046,12.4291,0,1,0,6,8.397454,8.397454,8.397454,90,90,90,225,592.1652261,4,148.0413065
0.535,1.26,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.379333333,14,16.33333333,33.72833333,1072.333333,3.17,0.044,115,898.3333333,1.236666667,4.31,0.34953,0.943333333,0.83,0.833333333,2.563333333,0.99,444.4666667,3554.666667,5244.666667,95.23333333,2.473333333,84.93333333,59.99684333,1,11.92833333,5.0783,309.7666667,196.8666667,105.3666667,11.60333333,348.3333333,4.333333333,101.3333333,2.666666667,99.66666667,10.33333333,10.33333333,6.333333333,4.333333333,100.3333333,3.666666667,99.66666667,29.13333333,0.999333333,2.2,1,87.66666667,74,30,3.666666667,1.866666667,2.221,3.343333333,85.66666667,1.5,1.576666667,1,6.356666667,5.83613,1.838,8.2788,0,1,0,6,8.253534,8.253534,8.253534,90,90,90,225,562.2375328,4,140.5593832
0.62,1.26,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,0.379333333,14,16.33333333,33.72833333,1072.333333,3.17,0.044,115,898.3333333,1.236666667,4.31,0.34953,0.943333333,0.83,0.833333333,2.563333333,0.99,444.4666667,3554.666667,5244.666667,95.23333333,2.473333333,84.93333333,59.99684333,1,11.92833333,5.0783,309.7666667,196.8666667,105.3666667,11.60333333,348.3333333,4.333333333,101.3333333,2.666666667,99.66666667,10.33333333,10.33333333,6.333333333,4.333333333,100.3333333,3.666666667,99.66666667,29.13333333,0.999333333,2.2,1,87.66666667,74,30,3.666666667,1.866666667,2.221,3.343333333,85.66666667,1.5,1.576666667,1,6.356666667,5.94292,1.9268,9.5384,0,1,0,6,8.404558,8.404558,8.404558,90,90,90,225,593.6693611,4,148.4173403
0.8,1.26,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,0.379333333,14,16.33333333,33.72833333,1072.333333,3.17,0.044,115,898.3333333,1.236666667,4.31,0.34953,0.943333333,0.83,0.833333333,2.563333333,0.99,444.4666667,3554.666667,5244.666667,95.23333333,2.473333333,84.93333333,59.99684333,1,11.92833333,5.0783,309.7666667,196.8666667,105.3666667,11.60333333,348.3333333,4.333333333,101.3333333,2.666666667,99.66666667,10.33333333,10.33333333,6.333333333,4.333333333,100.3333333,3.666666667,99.66666667,29.13333333,0.999333333,2.2,1,87.66666667,74,30,3.666666667,1.866666667,2.221,3.343333333,85.66666667,1.5,1.576666667,1,6.356666667,6.17416,2.1001,12.3495,0,1,0,6,8.731584,8.731584,8.731584,90,90,90,225,665.7008464,4,166.4252116
0.745,1.26,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,0.379333333,14,16.33333333,33.72833333,1072.333333,3.17,0.044,115,898.3333333,1.236666667,4.31,0.34953,0.943333333,0.83,0.833333333,2.563333333,0.99,444.4666667,3554.666667,5244.666667,95.23333333,2.473333333,84.93333333,59.99684333,1,11.92833333,5.0783,309.7666667,196.8666667,105.3666667,11.60333333,348.3333333,4.333333333,101.3333333,2.666666667,99.66666667,10.33333333,10.33333333,6.333333333,4.333333333,100.3333333,3.666666667,99.66666667,29.13333333,0.999333333,2.2,1,87.66666667,74,30,3.666666667,1.866666667,2.221,3.343333333,85.66666667,1.5,1.576666667,1,6.356666667,6.08798,2.0304,11.1604,0,1,0,6,8.60971,8.60971,8.60971,90,90,90,225,638.2128882,4,159.5532221
0.8,1.38,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,0.43,14,19,39.098,1032,3.5,0.032,102,862,1.32,4.6,0.40514,0.91,0.8,0.8,2.42,0.93,418.8,3051,4411,89.2,2.39,76.9,64.43485,1,4.667,1.9864,417,266,143,15.8,337,4,101,3,100,10,10,6,4,100,4,100,29.58,0.391,2.2,1,85,68,36,4,2.03,2.376,3.69,87,1.5,2.1,1,7.572,6.71569,2.0853,12.0526,0.010205,1.00225,7.3164,5.97035,7.86791494,7.86791494,11.93126709,90,90,90,128,738.5941781,2,369.297089
0.535,1.52,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,1.77,14,37,85.4678,961,4.98,0.031,52.8,1532,1.43,4.9,0.8858,0.89,0.8,0.8,2.34,0.85,403,2632,3859,80.9,2.2,69,76.2835,1,32.721,13.932,351,221,117,90,312,3,100,4,101,9,9,5,3,99,5,101,31.062,1.348,2.2,1,67,50,54,5,2.17,2.546,4.1,97,2.5,0.38,1,9.284,6.25409,1.8117,7.9286,0,1,0,6,8.84461888,8.84461888,8.84461888,90,90,90,225,691.8905053,4,172.9726263
0.62,1.266666667,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,1.206666667,14,25.66666667,59.2922,1175,3.746666667,0.059333333,63.43333333,1198.333333,1.536666667,4.286666667,0.614506667,0.916666667,0.833333333,0.866666667,2.563333333,1.11,442.0666667,4187.333333,6511,107.0666667,2.443333333,91,60.27596667,1,34.76833333,14.8035,234.6533333,147.75,78.23866667,60.07333333,359,4,101,3,100,10,10,6,4,100,4,100,28.96466667,1.984,1.9,1,78.33333333,64.66666667,39.33333333,4,1.856666667,2.218,3.27,74.33333333,2.166666667,0.268333333,1,6.91,5.96682,1.9354,9.6386,0,1.00205,7.43925,6,5.96681981,5.96681981,29.03644958,90,90,120,166,895.2822819,6,149.2137136
0.8,1.266666667,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,1.206666667,14,25.66666667,59.2922,1175,3.746666667,0.059333333,63.43333333,1198.333333,1.536666667,4.286666667,0.614506667,0.916666667,0.833333333,0.866666667,2.563333333,1.11,442.0666667,4187.333333,6511,107.0666667,2.443333333,91,60.27596667,1,34.76833333,14.8035,234.6533333,147.75,78.23866667,60.07333333,359,4,101,3,100,10,10,6,4,100,4,100,28.96466667,1.984,1.9,1,78.33333333,64.66666667,39.33333333,4,1.856666667,2.218,3.27,74.33333333,2.166666667,0.268333333,1,6.91,6.05927,2.1179,12.6661,0,1,0,6,8.569104,8.569104,8.569104,90,90,90,225,629.2253937,4,157.3063484
0.535,1.353333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,1.272666667,14,28.33333333,64.64153333,1025,4.156666667,0.043333333,82.2,1345,1.31,4.51,0.66997,0.93,0.83,0.833333333,2.51,0.936666667,433.9333333,3275.333333,4876.666667,89.7,2.346666667,79.66666667,67.89594333,1,30.631,13.04203333,265.7666667,166.8666667,88.03333333,61.07,331.6666667,3.666666667,100.6666667,3.333333333,100.3333333,9.666666667,9.666666667,5.666666667,3.666666667,99.66666667,4.333333333,100.3333333,30.12133333,1.637333333,2.2,1,75.66666667,62,42,4.333333333,1.96,2.334333333,3.616666667,92.33333333,2.166666667,0.43,1,7.498,5.97454,1.8496,8.4363,0,1,0,6,8.449278,8.449278,8.449278,90,90,90,225,603.1964804,4,150.7991201
0.62,1.353333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,1.272666667,14,28.33333333,64.64153333,1025,4.156666667,0.043333333,82.2,1345,1.31,4.51,0.66997,0.93,0.83,0.833333333,2.51,0.936666667,433.9333333,3275.333333,4876.666667,89.7,2.346666667,79.66666667,67.89594333,1,30.631,13.04203333,265.7666667,166.8666667,88.03333333,61.07,331.6666667,3.666666667,100.6666667,3.333333333,100.3333333,9.666666667,9.666666667,5.666666667,3.666666667,99.66666667,4.333333333,100.3333333,30.12133333,1.637333333,2.2,1,75.66666667,62,42,4.333333333,1.96,2.334333333,3.616666667,92.33333333,2.166666667,0.43,1,7.498,6.05924,1.9386,9.7135,0,1,0,6,8.569062,8.569062,8.569062,90,90,90,225,629.2161417,4,157.3040354
0.8,1.353333333,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,1.272666667,14,28.33333333,64.64153333,1025,4.156666667,0.043333333,82.2,1345,1.31,4.51,0.66997,0.93,0.83,0.833333333,2.51,0.936666667,433.9333333,3275.333333,4876.666667,89.7,2.346666667,79.66666667,67.89594333,1,30.631,13.04203333,265.7666667,166.8666667,88.03333333,61.07,331.6666667,3.666666667,100.6666667,3.333333333,100.3333333,9.666666667,9.666666667,5.666666667,3.666666667,99.66666667,4.333333333,100.3333333,30.12133333,1.637333333,2.2,1,75.66666667,62,42,4.333333333,1.96,2.334333333,3.616666667,92.33333333,2.166666667,0.43,1,7.498,6.26539,2.1114,12.5502,0,1,0,6,8.860602,8.860602,8.860602,90,90,90,225,695.6482359,4,173.912059
0.745,1.353333333,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,1.272666667,14,28.33333333,64.64153333,1025,4.156666667,0.043333333,82.2,1345,1.31,4.51,0.66997,0.93,0.83,0.833333333,2.51,0.936666667,433.9333333,3275.333333,4876.666667,89.7,2.346666667,79.66666667,67.89594333,1,30.631,13.04203333,265.7666667,166.8666667,88.03333333,61.07,331.6666667,3.666666667,100.6666667,3.333333333,100.3333333,9.666666667,9.666666667,5.666666667,3.666666667,99.66666667,4.333333333,100.3333333,30.12133333,1.637333333,2.2,1,75.66666667,62,42,4.333333333,1.96,2.334333333,3.616666667,92.33333333,2.166666667,0.43,1,7.498,6.18652,2.0406,11.3288,0,1,0,6,8.749064,8.749064,8.749064,90,90,90,225,669.7069105,4,167.4267276
0.535,1.473333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,1.323333333,14,31,70.0112,984.6666667,4.486666667,0.031333333,69.2,1308.666667,1.393333333,4.8,0.72558,0.896666667,0.8,0.8,2.366666667,0.876666667,408.2666667,2771.666667,4043,83.66666667,2.263333333,71.63333333,72.33395,1,23.36966667,9.950133333,373,236,125.6666667,65.26666667,320.3333333,3.333333333,100.3333333,3.666666667,100.6666667,9.333333333,9.333333333,5.333333333,3.333333333,99.33333333,4.666666667,100.6666667,30.568,1.029,2.2,1,73,56,48,4.666666667,2.123333333,2.489333333,3.963333333,93.66666667,2.166666667,0.953333333,1,8.713333333,6.24487,1.8434,8.3515,0,1,0,6,8.831576,8.831576,8.831576,90,90,90,225,688.8340898,4,172.2085224
0.62,1.473333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,1.323333333,14,31,70.0112,984.6666667,4.486666667,0.031333333,69.2,1308.666667,1.393333333,4.8,0.72558,0.896666667,0.8,0.8,2.366666667,0.876666667,408.2666667,2771.666667,4043,83.66666667,2.263333333,71.63333333,72.33395,1,23.36966667,9.950133333,373,236,125.6666667,65.26666667,320.3333333,3.333333333,100.3333333,3.666666667,100.6666667,9.333333333,9.333333333,5.333333333,3.333333333,99.33333333,4.666666667,100.6666667,30.568,1.029,2.2,1,73,56,48,4.666666667,2.123333333,2.489333333,3.963333333,93.66666667,2.166666667,0.953333333,1,8.713333333,6.1922,1.8964,9.0939,0,1,0,6,8.75709535,8.75709535,8.75709535,90,90,90,225,671.5529101,4,167.8882275
0.8,1.473333333,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,1.323333333,14,31,70.0112,984.6666667,4.486666667,0.031333333,69.2,1308.666667,1.393333333,4.8,0.72558,0.896666667,0.8,0.8,2.366666667,0.876666667,408.2666667,2771.666667,4043,83.66666667,2.263333333,71.63333333,72.33395,1,23.36966667,9.950133333,373,236,125.6666667,65.26666667,320.3333333,3.333333333,100.3333333,3.666666667,100.6666667,9.333333333,9.333333333,5.333333333,3.333333333,99.33333333,4.666666667,100.6666667,30.568,1.029,2.2,1,73,56,48,4.666666667,2.123333333,2.489333333,3.963333333,93.66666667,2.166666667,0.953333333,1,8.713333333,6.57383,2.1066,12.4643,0,1,0,6,9.296794,9.296794,9.296794,90,90,90,225,803.5254259,4,200.8813565
0.745,1.473333333,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,1.323333333,14,31,70.0112,984.6666667,4.486666667,0.031333333,69.2,1308.666667,1.393333333,4.8,0.72558,0.896666667,0.8,0.8,2.366666667,0.876666667,408.2666667,2771.666667,4043,83.66666667,2.263333333,71.63333333,72.33395,1,23.36966667,9.950133333,373,236,125.6666667,65.26666667,320.3333333,3.333333333,100.3333333,3.666666667,100.6666667,9.333333333,9.333333333,5.333333333,3.333333333,99.33333333,4.666666667,100.6666667,30.568,1.029,2.2,1,73,56,48,4.666666667,2.123333333,2.489333333,3.963333333,93.66666667,2.166666667,0.953333333,1,8.713333333,6.50459,2.0367,11.2647,0,1,0,6,9.198882,9.198882,9.198882,90,90,90,225,778.4041519,4,194.601038
0.535,1.67,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,2.41,14,55,132.905,943.2,6.36,0.02,35.9,1873,1.55,5.45,1.37731,0.86,0.77,0.7,2.18,0.8,375.7,2229,3377,76.1,2.09,63.9,84.40589,1,13.117,5.5846,793,534,318,41.3,302,2,99,5,102,8,8,4,2,98,6,102,32.17,2.564,2.2,1,49,18,86,6,2.35,2.731,4.31,113,3.5,29,1,11.579,6.5408,1.818,8.0117,0,1,0,6,9.25008792,9.25008792,9.25008792,90,90,90,225,791.4756932,4,197.8689233
0.745,1.67,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,2.41,14,55,132.905,943.2,6.36,0.02,35.9,1873,1.55,5.45,1.37731,0.86,0.77,0.7,2.18,0.8,375.7,2229,3377,76.1,2.09,63.9,84.40589,1,13.117,5.5846,793,534,318,41.3,302,2,99,5,102,8,8,4,2,98,6,102,32.17,2.564,2.2,1,49,18,86,6,2.35,2.731,4.31,113,3.5,29,1,11.579,6.8065,2.0224,11.0286,0,1,0,6,9.62583898,9.62583898,9.62583898,90,90,90,225,891.8992068,4,222.9748017
0.62,1.453333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,1.699333333,14,40.33333333,96.26633333,1013.133333,5.076666667,0.036,70.93333333,1572.333333,1.39,4.876666667,0.997643333,0.91,0.81,0.766666667,2.403333333,0.903333333,415.7333333,3006.666667,4555.333333,86.5,2.273333333,76.26666667,73.31087,1,17.56166667,7.4771,560.4333333,375.5333333,222.0333333,28.60333333,325,3,100,4,101,9,9,5,3,99,5,101,30.86,2.448,2.2,1,63.66666667,40.66666667,63.33333333,5,2.08,2.457666667,3.756666667,103,2.833333333,19.51,1,9.028,6.34528,1.94185,9.7508,0,1.00085,3.15555,6,6.34527815,6.34527815,30.83923461,90,90,120,166,1075.314622,6,179.2191037
