Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,Gd2MgTiO6Bi0.002Cr0.001,Gd2MgTiO6,Bi3+,0.002,Cr3+,0.001,298,737,,,19.1,,463,375,375,,,,737,https://doi.org/10.1111/jace.18011,,,Journal of the American Ceramic Society,2021
2,Gd2MgTiO6Cr0.001,Gd2MgTiO6,Cr3+,0.001,,,298,737,,,,,463,340,340,,,,737,https://doi.org/10.1111/jace.18011,,,Journal of the American Ceramic Society,2021
3,K3LuSi2O7Eu0.01,K3LuSi2O7,Eu2+,0.01,,,298,740,,,,,475,460,460,,,1580,740,https://doi.org/10.1038/s41467-019-13293-0,mp-557543, icsd-412528,Nature Communications,2019
4,K3LuSi2O7Eu0.02,K3LuSi2O7,Eu2+,0.02,,,298,740,,,,,,460,460,,,1510,740,https://doi.org/10.1038/s41467-019-13293-0,mp-557543, icsd-412528,Nature Communications,2019
5,K3LuSi2O7Eu0.03,K3LuSi2O7,Eu2+,0.03,,,298,740,,,,,,460,460,,,1450,740,https://doi.org/10.1038/s41467-019-13293-0,mp-557543, icsd-412528,Nature Communications,2019
6,Ga1.87In0.1O3Cr0.03,Ga1.87In0.1O3,Cr3+,0.03,,,298,760,,,90.9,,,450,,,,122000,,https://doi.org/10.1021/acsami.1c05949,"mp-886,mp-1243,mp-1244900,mp-1245167,mp-1244938,mp-1245018,mp-1244932,mp-685090,mp-13134", icsd-603563 icsd-184327 icsd-166198 icsd-34243 icsd-83645 icsd-33644 icsd-635016 icsd-166199 icsd-27431 icsd-162252,ACS Applied Materials &amp; Interfaces,2021
7,Ga1.87In0.1O3Cr0.03,Ga1.87In0.1O3,Cr3+,0.03,,,298,760,,,90.9,,,450,437,,,122000,713,https://doi.org/10.1021/acsami.1c05949,"mp-886,mp-1243,mp-1244900,mp-1245167,mp-1244938,mp-1245018,mp-1244932,mp-685090,mp-13134", icsd-603563 icsd-184327 icsd-166198 icsd-34243 icsd-83645 icsd-33644 icsd-635016 icsd-166199 icsd-27431 icsd-162252,ACS Applied Materials &amp; Interfaces,2021
8,K2NaSc0.9F6Cr0.1,K2NaSc0.9F6,Cr3+,0.1,,,298,765,,,74,,500,435,435,,,,765,https://doi.org/10.1002/lpor.202000410,mp-6058, icsd-22112 icsd-65730,Laser and Photonics Reviews,2020
9,LaMgGa10.8O19Cr0.2,LaMgGa10.8O19,Cr3+,0.2,,,298,770,,,82.6,44.5,560,410,,,,1450000,770,https://doi.org/10.1039/D0QI00063A,,,Inorganic Chemistry Frontiers,2020
10,Ga1.77In0.2O3Cr0.03,Ga1.77In0.2O3,Cr3+,0.03,,,298,780,,,89.3,,473,450,,,,85000,,https://doi.org/10.1021/acsami.1c05949,"mp-886,mp-1243,mp-1244900,mp-1245167,mp-1244938,mp-1245018,mp-1244932,mp-685090,mp-13134", icsd-603563 icsd-184327 icsd-166198 icsd-34243 icsd-83645 icsd-33644 icsd-635016 icsd-166199 icsd-27431 icsd-162252,ACS Applied Materials &amp; Interfaces,2021
11,Ga1.77In0.2O3Cr0.03,Ga1.77In0.2O3,Cr3+,0.03,,,298,780,,,89.3,,473,450,437,,,85000,713,https://doi.org/10.1021/acsami.1c05949,"mp-886,mp-1243,mp-1244900,mp-1245167,mp-1244938,mp-1245018,mp-1244932,mp-685090,mp-13134", icsd-603563 icsd-184327 icsd-166198 icsd-34243 icsd-83645 icsd-33644 icsd-635016 icsd-166199 icsd-27431 icsd-162252,ACS Applied Materials &amp; Interfaces,2021
