Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,Ca3La0.6Ga3O15B4Eu0.4,Ca3La0.6Ga3O15B4,Eu3+,0.4,,,298,621,,,59.7,,,397,,,,1411000,621,https://doi.org/10.1016/j.dyepig.2018.04.039,,,Dyes and Pigments,2018
2,Ca3La0.5Ga3O15B4Eu0.5,Ca3La0.5Ga3O15B4,Eu3+,0.5,,,298,621,,,75.9,,,397,,,,1394000,621,https://doi.org/10.1016/j.dyepig.2018.04.039,,,Dyes and Pigments,2018
3,Ca3La0.4Ga3O15B4Eu0.6,Ca3La0.4Ga3O15B4,Eu3+,0.6,,,298,621,0.6592,0.3389,82.2,,,397,397,377,467,1385000,621,https://doi.org/10.1016/j.dyepig.2018.04.039,,,Dyes and Pigments,2018
4,Ca3La0.2Ga3O15B4Eu0.8,Ca3La0.2Ga3O15B4,Eu3+,0.8,,,298,621,,,77.2,,,397,,,,1266000,621,https://doi.org/10.1016/j.dyepig.2018.04.039,,,Dyes and Pigments,2018
5,Ca3Ga3O15B4Eu1,Ca3Ga3O15B4,Eu3+,1,,,298,621,,,58.1,,,397,,,,1058000,621,https://doi.org/10.1016/j.dyepig.2018.04.039,,,Dyes and Pigments,2018
6,Ca3Y0.9Al3O15B4Eu0.1,Ca3Y0.9Al3O15B4,Eu3+,0.1,,,298,621,,,,,,397,,,,1968000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
7,Ca3Y0.7Al3O15B4Eu0.3,Ca3Y0.7Al3O15B4,Eu3+,0.3,,,298,621,,,,,,397,,,,1859000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
8,Ca3Y0.5Al3O15B4Eu0.5,Ca3Y0.5Al3O15B4,Eu3+,0.5,,,298,621,0.653,0.342,88,,500,397,397,383,370,1616000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
9,Ca3Y0.3Al3O15B4Eu0.7,Ca3Y0.3Al3O15B4,Eu3+,0.7,,,298,621,,,,,,397,,,,1576000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
10,Ca3Y0.1Al3O15B4Eu0.9,Ca3Y0.1Al3O15B4,Eu3+,0.9,,,298,621,,,,,,397,,,,1165000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
11,Ca3Al3O15B4Eu1,Ca3Al3O15B4,Eu3+,1,,,298,621,,,,,,397,,,,1003000,621,https://doi.org/10.1016/j.jlumin.2018.09.010,mp-694012,,Journal of Luminescence,2019
12,Na3Sc1.8P3O12Eu0.1,Na3Sc1.8P3O12,Eu3+,0.1,,,298,621,0.638,0.352,16.9,,,394,,,,3077000,621,https://doi.org/10.1016/j.jallcom.2017.12.316,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Journal of Alloys and Compounds,2018
13,Na3Sc1.5P3O12Eu0.25,Na3Sc1.5P3O12,Eu3+,0.25,,,298,621,0.638,0.354,24.6,,,394,,,,3066000,621,https://doi.org/10.1016/j.jallcom.2017.12.316,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Journal of Alloys and Compounds,2018
14,Na3Sc1.4P3O12Eu0.3,Na3Sc1.4P3O12,Eu3+,0.3,,,298,621,0.639,0.356,36.7,,,394,,,,3063000,621,https://doi.org/10.1016/j.jallcom.2017.12.316,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Journal of Alloys and Compounds,2018
15,Na3Sc1.3P3O12Eu0.35,Na3Sc1.3P3O12,Eu3+,0.35,,,298,621,0.642,0.353,49,,523,394,394,384,318,3048000,621,https://doi.org/10.1016/j.jallcom.2017.12.316,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Journal of Alloys and Compounds,2018
16,Na3Sc1.1P3O12Eu0.45,Na3Sc1.1P3O12,Eu3+,0.45,,,298,621,0.638,0.357,27.2,,,394,,,,3024000,621,https://doi.org/10.1016/j.jallcom.2017.12.316,"mp-16956,mp-1221280,mp-555608", icsd-65406 icsd-20740,Journal of Alloys and Compounds,2018
17,Ca3Gd0.9Al3O15B4Eu0.1,Ca3Gd0.9Al3O15B4,Eu3+,0.1,,,298,621,,,,,,397,,,,1973000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
18,Ca3Gd0.8Al3O15B4Eu0.2,Ca3Gd0.8Al3O15B4,Eu3+,0.2,,,298,621,,,,,,397,,,,1912000,621,https://doi.org/10.1016/j.dyepig.2018.03.005,,,Dyes and Pigments,2018
