Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,561,0.3259,0.5235,,,,360,,,,109200,558,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
2,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,561,0.3218,0.6086,,,,365,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
3,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,561,0.322,0.6478,,,,370,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
4,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,561,0.3257,0.6447,,,,378,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
5,La3.98GeO8Eu0.006Er0.014,La3.98GeO8,Eu2+,0.006,Er3+,0.014,298,561,0.3537,0.4967,,,,380,,,,,,https://doi.org/10.1002/adfm.202102479,mp-1211987,,Advanced Functional Materials,2021
6,Sr0.23Ba0.75Si2O2N2Eu0.02,Sr0.23Ba0.75Si2O2N2,Eu2+,0.02,,,298,564,0.434,0.528,66,,,450,,,,,,https://doi.org/10.1021/cm802394w,mp-6764, icsd-419450 icsd-173758,Chemistry of Materials,2008
7,Sr0.23Ba0.75Si2N2O2Eu0.02,Sr0.23Ba0.75Si2N2O2,Eu3+,0.02,,,298,564,0.434,0.528,66,,,450,,,,,,https://doi.org/10.1021/cm802394w,,,Chemistry of Materials,2008
8,YNb0.2V0.8O4Bi0.01,YNb0.2V0.8O4,Bi3+,0.01,,,298,564,0.409,0.48,64.4,,,310,,,,,,https://doi.org/10.1021/acs.chemmater.6b00277,"mp-5387,mp-1095229", icsd-430911 icsd-20335 icsd-100176 icsd-239207 icsd-430907 icsd-430914 icsd-430913 icsd-430912 icsd-430908 icsd-430916 icsd-430909 icsd-430015 icsd-430910 icsd-430919 icsd-430922 icsd-239208 icsd-430917 icsd-239209 icsd-430920 icsd-430921 icsd-430918,Chemistry of Materials,2016
9,Ba0.12Sr0.8YSi2Al2O2N5Eu0.08,Ba0.12Sr0.8YSi2Al2O2N5,Eu2+,0.08,,,298,565,0.4168,0.5163,,,,365,,,,,,https://doi.org/10.1039/C0JM03573D,,,Journal of Materials Chemistry,2011
10,MgY1.94Al4SiO12Ce0.06,MgY1.94Al4SiO12,Ce3+,0.06,,,298,565,0.443,0.534,89,,,460,,,,44.8,550,https://doi.org/10.1016/j.optmat.2017.06.012,,,Optical Materials,2017
