Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,Ca4Y6Si6O25Ce0.02,Ca4Y6Si6O25,Ce3+,0.02,,,298,421,0.181,0.089,,,,352,,,,,,https://doi.org/10.1016/j.matchemphys.2011.05.078,,,Materials Chemistry and Physics,2011
2,Ba3Y1.9B4O12Ce0.05,Ba3Y1.9B4O12,Ce3+,0.05,,,298,421,0.162,0.121,,,,360,360,,,,421,https://doi.org/10.1111/j.1551-2916.2012.05464.x,,,Journal of the American Ceramic Society,2012
3,Na2Y1.99B2O7Ce0.01,Na2Y1.99B2O7,Ce3+,0.01,,,298,421,0.16,0.081,,,,365,365,,,72.19,421,https://doi.org/10.1039/C3DT52214H,mp-6331, icsd-191128 icsd-245226 icsd-99206,Dalton Transactions,2013
4,Na2Y1.98B2O7Ce0.01Eu0.01,Na2Y1.98B2O7,Ce3+,0.01,Eu3+,0.01,298,421,,,,,,365,365,,,59.45,421,https://doi.org/10.1039/C3DT52214H,mp-6331, icsd-191128 icsd-245226 icsd-99206,Dalton Transactions,2013
5,Na2Y1.97B2O7Ce0.01Eu0.02,Na2Y1.97B2O7,Ce3+,0.01,Eu3+,0.02,298,421,,,,,,365,365,,,55.14,421,https://doi.org/10.1039/C3DT52214H,mp-6331, icsd-191128 icsd-245226 icsd-99206,Dalton Transactions,2013
6,Na2Y1.96B2O7Ce0.01Eu0.03,Na2Y1.96B2O7,Ce3+,0.01,Eu3+,0.03,298,421,,,,,,365,365,,,52.15,421,https://doi.org/10.1039/C3DT52214H,mp-6331, icsd-191128 icsd-245226 icsd-99206,Dalton Transactions,2013
7,Na2Y1.95B2O7Ce0.01Eu0.04,Na2Y1.95B2O7,Ce3+,0.01,Eu3+,0.04,298,421,,,,,,365,365,,,51.59,421,https://doi.org/10.1039/C3DT52214H,mp-6331, icsd-191128 icsd-245226 icsd-99206,Dalton Transactions,2013
8,Na2Y2B2O7Ce0.03,Na2Y2B2O7,Ce3+,0.03,,,298,422,0.1535,0.1022,58.2,,,366,366,,,72,422,https://doi.org/10.1016/j.jssc.2014.02.002,mp-6331, icsd-191128 icsd-245226 icsd-99206,Journal of Solid State Chemistry,2014
9,BaLu1.94Si3O10Ce0.06,BaLu1.94Si3O10,Ce3+,0.06,,,298,423,0.155,0.083,72.7,,,365,365,,,32.2,423,https://doi.org/10.1039/C6TC00579A,,,Journal of Materials Chemistry C,2016
10,BaLu1.92Si3O10Ce0.06Tb0.02,BaLu1.92Si3O10,Ce3+,0.06,Tb3+,0.02,298,423,0.17,0.136,71,,,365,,,,,423,https://doi.org/10.1039/C6TC00579A,,,Journal of Materials Chemistry C,2016
11,Y1.98SiO5Ce0.01,Y1.98SiO5,Ce3+,0.01,,,298,423,0.177,0.122,,,,355,355,,,23.41,423,https://doi.org/10.1021/jp412702g,"mp-3520,mp-554420", icsd-291362 icsd-28021 icsd-27003 icsd-291358 icsd-51591 icsd-153076,Journal of Physical Chemistry C,2014
12,Sr2VO4Cl,Sr2VO4Cl,,,,,298,424,,,5.5,,,276,,,,9755000,424,https://doi.org/10.1039/C3RA42724B,mp-558952, icsd-73946,RSC Advances,2013
13,NaSrBO3Ce0.01Sm0.06,NaSrBO3,Ce3+,0.01,Sm3+,0.06,298,424,0.248,0.13,,,,360,360,,,27.5,424,https://doi.org/10.1039/C5TC00832H,mp-556695, icsd-172420 icsd-239003,Journal of Materials Chemistry C,2015
14,Ba2Y2.995Si3O12FCe0.005,Ba2Y2.995Si3O12F,Ce3+,0.005,,,298,425,,,26,,,355,,,,,,https://doi.org/10.1111/jace.12765,,,Journal of the American Ceramic Society,2014
